timestamp,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-06-11 13:50:00,6.64,6.64,6.63,6.62,281.0,-0.01,-0.15,6.628,6.622,6.628,425.2,310.4,252.1,0.01
2018-06-11 13:55:00,6.63,6.64,6.63,6.63,258.0,0.0,0.0,6.632,6.623,6.629,359.4,311.5,259.9,0.01
2018-06-11 14:00:00,6.63,6.63,6.61,6.61,201.0,-0.02,-0.3,6.628,6.622,6.6285,251.6,326.5,257.4,0.01
2018-06-11 14:05:00,6.61,6.63,6.63,6.61,362.0,0.02,0.3,6.628,6.622,6.6295,231.2,356.4,269.9,0.01
2018-06-11 14:10:00,6.63,6.64,6.62,6.62,215.0,-0.01,-0.15,6.624,6.624,6.6275,263.4,323.8,262.05,0.01
2018-06-11 14:15:00,6.62,6.62,6.61,6.6,510.0,-0.01,-0.15,6.62,6.624,6.6265,309.2,367.2,260.65,0.02
2018-06-11 14:20:00,6.61,6.61,6.61,6.6,229.0,0.0,0.0,6.616,6.624,6.624,303.4,331.4,261.75,0.01
2018-06-11 14:25:00,6.61,6.61,6.61,6.61,141.0,0.0,0.0,6.616,6.622,6.622,291.4,271.5,265.8,0.0
2018-06-11 14:30:00,6.62,6.62,6.61,6.61,192.0,-0.01,-0.15,6.612,6.62,6.6205,257.4,244.3,273.35,0.01
2018-06-11 14:35:00,6.61,6.75,6.71,6.61,6923.0,0.1,1.51,6.63,6.627,6.6245,1599.0,931.2,612.45,0.23
2018-06-11 14:40:00,6.71,6.71,6.71,6.7,420.0,0.0,0.0,6.65,6.635,6.6285,1581.0,945.1,627.75,0.01
2018-06-11 14:45:00,6.71,6.71,6.69,6.67,591.0,-0.02,-0.3,6.666,6.641,6.632,1653.4,978.4,644.95,0.02
2018-06-11 14:50:00,6.69,6.69,6.68,6.67,287.0,-0.01,-0.15,6.68,6.648,6.635,1682.6,987.0,656.75,0.01
2018-06-11 14:55:00,6.68,6.69,6.67,6.66,598.0,-0.01,-0.15,6.692,6.652,6.637,1763.8,1010.6,683.5,0.02
2018-06-11 15:00:00,6.67,6.67,6.67,6.66,238.0,0.0,0.0,6.684,6.657,6.6405,426.8,1012.9,668.35,0.01
2018-06-12 09:35:00,6.67,6.7,6.7,6.66,999.0,0.03,0.45,6.682,6.666,6.645,542.6,1061.8,714.5,0.03
2018-06-12 09:40:00,6.7,6.7,6.68,6.68,288.0,-0.02,-0.3,6.68,6.673,6.6485,482.0,1067.7,699.55,0.01
2018-06-12 09:45:00,6.68,6.69,6.67,6.66,460.0,-0.01,-0.15,6.678,6.679,6.6505,516.6,1099.6,685.55,0.02
2018-06-12 09:50:00,6.67,6.67,6.67,6.66,282.0,0.0,0.0,6.678,6.685,6.6525,453.4,1108.6,676.45,0.01
2018-06-12 09:55:00,6.67,6.68,6.67,6.66,622.0,0.0,0.0,6.678,6.681,6.654,530.2,478.5,704.85,0.02
2018-06-12 10:00:00,6.67,6.69,6.69,6.66,335.0,0.02,0.3,6.676,6.679,6.657,397.4,470.0,707.55,0.01
2018-06-12 10:05:00,6.69,6.69,6.65,6.65,460.0,-0.04,-0.6,6.67,6.675,6.658,431.8,456.9,717.65,0.02
2018-06-12 10:10:00,6.65,6.68,6.64,6.64,289.0,-0.01,-0.15,6.664,6.671,6.6595,397.6,457.1,722.05,0.01
2018-06-12 10:15:00,6.64,6.66,6.63,6.63,235.0,-0.01,-0.15,6.656,6.667,6.6595,388.2,420.8,715.7,0.01
2018-06-12 10:20:00,6.63,6.63,6.63,6.62,605.0,0.0,0.0,6.648,6.663,6.66,384.8,457.5,735.2,0.02
2018-06-12 10:25:00,6.63,6.66,6.65,6.62,339.0,0.02,0.3,6.64,6.658,6.662,385.6,391.5,726.65,0.01
2018-06-12 10:30:00,6.65,6.65,6.65,6.63,233.0,0.0,0.0,6.64,6.655,6.664,340.2,386.0,726.85,0.01
2018-06-12 10:35:00,6.64,6.65,6.64,6.64,317.0,0.0,0.0,6.64,6.652,6.6655,345.8,371.7,735.65,0.01
2018-06-12 10:40:00,6.64,6.65,6.64,6.64,487.0,0.0,0.0,6.642,6.649,6.667,396.2,392.2,750.4,0.02
2018-06-12 10:45:00,6.65,6.66,6.66,6.64,119.0,0.01,0.15,6.648,6.648,6.6645,299.0,341.9,410.2,0.0
2018-06-12 10:50:00,6.66,6.66,6.65,6.65,91.0,-0.01,-0.15,6.648,6.644,6.6615,249.4,317.5,393.75,0.0
2018-06-12 10:55:00,6.65,6.66,6.66,6.65,80.0,0.01,0.15,6.65,6.645,6.66,218.8,279.5,368.2,0.0
2018-06-12 11:00:00,6.66,6.66,6.66,6.65,41.0,0.0,0.0,6.654,6.647,6.659,163.6,254.7,355.9,0.0
2018-06-12 11:05:00,6.66,6.66,6.65,6.65,198.0,-0.01,-0.15,6.656,6.649,6.658,105.8,251.0,335.9,0.01
2018-06-12 11:10:00,6.65,6.65,6.64,6.64,92.0,-0.01,-0.15,6.652,6.65,6.6565,100.4,199.7,328.6,0.0
2018-06-12 11:15:00,6.64,6.66,6.65,6.64,268.0,0.01,0.15,6.652,6.65,6.654,135.8,192.6,292.05,0.01
2018-06-12 11:20:00,6.65,6.67,6.66,6.65,69.0,0.01,0.15,6.652,6.651,6.653,133.6,176.2,281.1,0.0
2018-06-12 11:25:00,6.66,6.67,6.66,6.66,211.0,0.0,0.0,6.652,6.653,6.6525,167.6,165.6,268.65,0.01
2018-06-12 11:30:00,6.66,6.7,6.7,6.66,697.0,0.04,0.6,6.662,6.659,6.654,267.4,186.6,289.4,0.02
2018-06-12 13:05:00,6.7,6.71,6.7,6.7,249.0,0.0,0.0,6.674,6.663,6.6555,298.8,199.6,270.75,0.01
2018-06-12 13:10:00,6.7,6.71,6.7,6.7,933.0,0.0,0.0,6.684,6.668,6.656,431.8,283.8,300.65,0.03
2018-06-12 13:15:00,6.7,6.7,6.69,6.68,92.0,-0.01,-0.15,6.69,6.671,6.658,436.4,285.0,282.25,0.0
2018-06-12 13:20:00,6.69,6.7,6.7,6.69,60.0,0.01,0.15,6.698,6.675,6.661,406.2,286.9,270.8,0.0
2018-06-12 13:25:00,6.7,6.7,6.7,6.69,40.0,0.0,0.0,6.698,6.68,6.6645,274.8,271.1,261.05,0.0
2018-06-12 13:30:00,6.7,6.7,6.7,6.69,362.0,0.0,0.0,6.698,6.686,6.668,297.4,298.1,248.9,0.01
2018-06-12 13:35:00,6.7,6.71,6.69,6.69,326.4,-0.01,-0.15,6.696,6.69,6.67,176.08,303.94,248.27,0.01
2018-06-12 13:40:00,6.69,6.71,6.71,6.69,58.0,0.02,0.3,6.7,6.695,6.673,169.28,302.84,239.52,0.0
2018-06-12 13:45:00,6.71,6.71,6.69,6.69,109.0,-0.02,-0.3,6.698,6.698,6.6755,179.08,292.64,229.12,0.0
2018-06-12 13:50:00,6.69,6.71,6.71,6.69,177.0,0.02,0.3,6.7,6.699,6.679,206.48,240.64,213.62,0.01
2018-06-12 13:55:00,6.71,6.71,6.7,6.7,181.0,-0.01,-0.15,6.7,6.699,6.681,170.28,233.84,216.72,0.01
